sigx_rt250,pRt_rt250,sigx_rt500,pRt_rt500,sigx_rt1000,pRt_rt1000,sigx_rt2000,pRt_rt2000
0.497513888,220.2937249,0.497513888,183.5780972,0.497513888,108.8117611,0.33168048,54.07208974
9.121069729,215.9546094,9.618569953,177.4032113,12.43780621,106.9759838,11.94030599,54.40588742
16.08623683,212.6168251,18.57379261,172.3965348,23.05140394,104.6395376,26.69983456,54.07208974
23.21725101,209.1121556,26.69983456,168.0574124,33.66500167,101.9693073,38.142613,53.57143446
29.8507513,204.6061482,36.31840452,162.2162967,47.09784932,99.13219202,50.08291898,53.07075169
37.4792657,200.2670258,43.44941869,158.3778434,58.54062775,95.62750885,61.35987767,51.73567096
44.11276599,195.5941332,49.7512385,154.8731739,70.97843396,92.12283942,72.30512855,51.06807559
50.24875239,191.9225718,56.88226634,150.5340378,79.76782321,88.78505508,85.24046231,49.39922467
56.38473879,187.5834494,65.33996145,145.861159,91.04476823,85.61416959,95.52237956,47.89720384
63.5157393,183.0774351,73.63185047,140.6875974,102.1558799,81.94260132,105.6384634,46.06141283
70.14923959,178.0707586,81.26035121,136.348475,114.7595468,77.77037778,116.9154084,44.05873673
77.11443402,172.8972038,89.71807364,131.8424675,126.533992,72.93058636,126.2023252,42.05606063
83.74793431,167.8905273,96.68324075,127.6702302,136.3184091,69.25903184,134.9916871,40.05341203
91.21060164,162.2162967,102.8192408,124.1655608,146.2686595,64.25235534,144.7761042,37.55005315
97.51243511,157.8771743,110.2819355,119.6595533,156.7164102,60.41390198,153.39966,35.38051946
103.6484079,152.8704978,116.5837416,115.3204447,168.4908554,54.40588742,163.8474107,32.37650531
110.6136023,147.5300374,122.8855751,111.4819913,179.7678278,49.23231208,174.2951887,29.53937625
117.5787694,141.8558205,129.0215478,107.9773081,190.049745,43.72499405,185.4063003,26.03470682
124.3781031,136.348475,135.4892147,103.3044156,200.4974957,38.21764852,196.0198843,22.53003739
131.1774641,130.6742444,142.9519094,98.13085397,210.6135795,31.87585003,206.3018016,18.85848287
137.4792703,125.834453,149.7512431,93.62484649,218.0762742,26.86918728,216.0862186,15.18692835
143.4494096,119.8264522,156.3847433,88.61816999,225.5389415,21.69561193,227.528997,10.34715069
150.9121042,113.4846537,163.3499104,83.94527742,233.4991637,15.18692835,239.469303,4.839805164
158.2089382,106.809085,169.1542164,79.10548601,241.625192,8.344474591,248.5903591,0.333797685
166.0032996,99.96663123,175.9535501,73.76503932,248.5903591,0.500655274,,
172.4709665,93.12417747,182.2553835,68.42457888,248.5903591,0.500655274,,
177.7777722,87.28306176,187.7280226,63.0841322,,,,
183.5820781,81.44193229,195.3565234,56.9092188,,,,
189.8839116,74.76636362,201.1608566,51.40187327,,,,
196.1857177,68.09079495,201.1608566,51.40187327,,,,
201.9900237,60.914571,206.3018016,46.39521052,,,,
208.4576905,53.23766428,211.9402741,40.38720972,,,,
214.0961631,46.39521052,218.9054685,34.21229632,,,,
220.7296634,38.7183038,224.7097745,27.70361274,,,,
226.5339693,30.87451198,230.1824136,21.69561193,,,,
232.1724418,23.69828804,234.6600249,16.68894918,,,,
236.3183863,17.52337464,239.1376362,11.68225893,,,,
241.2935252,11.34848874,244.7761087,5.340460438,,,,
245.1077755,6.008000804,248.0928589,0.166912594,,,,
247.9270255,2.169588696,,,,,,
