TengRotter_p,TengRotter_delta,Surana_p,Surana_delta
0.0709677419,0.1465583662,0.1290322581,0.2945927129
0.1419354839,0.2787282432,0.2516129032,0.5100673010
0.2000000000,0.3850359712,0.3806451613,0.6607751218
0.2548387097,0.4654537016,0.5096774194,0.7510512880
0.3903225806,0.6147041077,0.6419354839,0.7938361569
0.5354838710,0.7049338594,0.7645161290,0.7891668601
0.6290322581,0.7291250870,0.8903225806,0.7499559062
0.7322580645,0.7317057322,1.0161290323,0.6834068229
0.8483870968,0.7025945695,1.1451612903,0.6010211186
1.0516129032,0.6027291715,1.2709677419,0.5100116036
1.1677419355,0.5304525412,1.4000000000,0.4261870504
1.2451612903,0.4798700395,1.6516129032,0.2729449988
1.3709677419,0.3974936180,1.7806451613,0.2366024600
1.4935483871,0.3237595730,1.9000000000,0.2348201439
1.5967741935,0.2659085635,2.0258064516,0.2733070318
1.7354838710,0.1950058018,,
1.7838709677,0.1689672778,,
1.8612903226,0.1557948480,,
1.9677419355,0.1684381527,,
2.0741935484,0.2084195869,,
2.1548387097,0.2571083778,,
2.2129032258,0.3029844511,,
2.2580645161,0.3676026920,,
