pbar_delta0.5,Ncr/Ncl_delta0.5,pbar_delta1.0,Ncr/Ncl_delta1.0,pbar_delta1.5,Ncr/Ncl_delta1.5,,
0.000000000000000,0.429411764705882,0.000000000000000,0.300000000000000,0.000000000000000,0.254901960784313,,
0.100732741013071,0.545098039215686,0.088999438316993,0.409803921568627,0.088126787173203,0.370588235294117,,
0.356904871323529,0.684313725490196,0.276896956699346,0.568627450980392,0.256791258169934,0.533333333333333,,
0.857377195669934,0.833333333333333,0.768241932189542,0.756862745098039,0.728636897467320,0.723529411764706,,
1.346711601307180,0.898039215686274,1.267533445669930,0.833333333333333,1.188706341911760,0.790196078431372,,
1.864768433415030,0.927450980392157,1.746719260620910,0.874509803921568,1.667892156862740,0.831372549019608,,
2.372963899101300,0.950980392156862,2.245085273692810,0.894117647058823,2.146822661356200,0.856862745098039,,
2.871170343137250,0.960784313725490,2.743483200571890,0.915686274509804,2.615955627042480,0.880392156862745,,
3.896848192401960,0.978431372549019,3.759491166258170,0.939215686274509,3.622261795343130,0.907843137254902,,
5.889227175245090,0.990196078431372,5.771560968137250,0.960784313725490,5.614959916258170,0.939215686274509,,
,,7.715047998366010,0.968627450980392,7.587839562908490,0.952941176470588,,
